每首诗的 AUC：
我遥望: 0.8025
无题: 0.8765
无题（四）: 0.7654
画像: 0.8148
跟随者: 0.8395
第一盏灯: 0.8025
二月之窗: 0.9753
女犯监狱: 0.9506
逃狱的月亮: 0.6296
茶青色的池塘: 1.0000
妹妹你是水: 0.9753
姑娘: 0.6790
最后的飞翔: 0.7160
牧: 0.9136
散后: 0.9753
殡仪: 1.0000
信念: 0.9877
繁星（一）: 0.8519
风沙: 0.5679
小船: 1.0000
雨巷: 0.9259
断桥的苦楚: 0.8519
家居: 0.9877
山和海: 0.8889
铁匠铺中: 0.8148
雪: 0.6790
一朵野花: 0.8519
寻李白: 0.8148
致太阳: 0.4568
预言: 0.9012
双桅船: 0.8148
天狗: 0.8025
温柔: 0.7407
给岁月的答复: 0.6667
老鸦: 0.5062
月夜: 0.7654
鱼化石: 0.7531
春风: 0.9259
第一站: 0.9877
淮河啊: 0.9630
葡萄成熟了: 0.7654
再生: 0.7037
弃妇: 0.9259
听肖邦的钢琴声响: 0.9012
我的记忆: 0.8519
敌后催眠曲: 0.8889
古神祠前: 0.8025
方入水的船: 0.8272
乌衣巷: 0.4815
游牧人: 0.7284
有感: 0.5679
水的怀念: 0.9630
晨的恋歌: 0.9383
旷野: 0.8025
深秋的故事: 0.9506
护城河: 0.8765
兵车向前方开: 0.9877
草儿: 0.5309
诀绝: 0.6296
双虹: 0.8519
碧潭: 0.9012
春天的心: 0.8395
铁栏与火: 0.6667
贝壳: 0.8642
悼念一棵枫树: 0.8395
我用残损的手掌: 0.8272
雨天的信: 0.8272
箫孔里的流泉: 0.7284
谣曲: 0.9012
凄然: 0.8765
秋歌: 0.7284
距离: 0.9383
大堰河——我的保姆: 0.5556
秋歌: 0.9753
牢狱篇: 0.6420
雪山: 0.9506
母亲的灯: 1.0000
我梦想着看到一只老虎: 0.5926
沙扬娜拉: 0.9012
屈原: 0.7654
阿炳与二泉映月: 0.6667
星: 0.8025
故园六咏: 0.6543
季节的错误: 0.6543
圆宝盒: 0.7160
珠有泪: 0.9506
也许: 0.6790
我爱: 0.8765
眺望森林: 0.5062
鼠嫁女: 0.8395
午夜图: 0.7407
一个小农家的暮: 0.8395
磷火: 0.8148
北戴河: 0.7778
喷水池: 0.9136
春鸟: 0.9259
请为冤者起诉: 0.9259
招魂: 0.8395
我得掌握我自己: 0.9136
十五娘: 0.4321

总样本数: 100
平均 AUC: 0.8099
